"country_region","total_confirmed","total_deaths"
"United Kingdom","1.0988851E7","151221.0"
"France","9761814.0","121201.0"
"Turkey","9482550.0","82361.0"
"India","6678821.0","141526.0"
"Iran","6194401.0","131606.0"
"Argentina","5654408.0","117169.0"
"Brazil","4456108.0","155205.0"
"Indonesia","4262720.0","144094.0"
"Poland","4108215.0","97054.0"
"South Africa","3458286.0","91145.0"
