"country_region","max_incident_rate","total_cases"
"US","2164021.75951979","1696582.0"
"Andorra","30725.425483724845","23740.0"
"Montenegro","27072.804914164528","170034.0"
"United Kingdom","25825.888219405777","1.0988851E7"
"Seychelles","25206.426682936748","24788.0"
"Slovakia","25113.033947457734","1371082.0"
"San Marino","24167.599740703638","8202.0"
"Georgia","23431.937681350155","934741.0"
"Czechia","23118.24784092457","2475729.0"
"Slovenia","22321.461211814527","464048.0"
