"year","month","confirmed_cases","total_deaths"
"2021","01","964548.0","16296.0"
"2021","02","968261.0","16299.0"
"2021","03","970334.0","16302.0"
"2021","04","970334.0","16302.0"
"2021","05","970334.0","16302.0"
"2021","06","970334.0","16302.0"
"2021","07","979986.0","16303.0"
"2021","08","979986.0","16303.0"
"2021","09","985471.0","16315.0"
"2021","10","987999.0","16325.0"
"2021","11","987999.0","16325.0"
"2021","12","1167381.0","16373.0"
