"country_region","total_cases","total_deaths","incident_rate"
"France","9761814.0","121201.0","19170.4602933738"
"Germany","1372712.0","20282.0","16037.005966497276"
"Italy","1217364.0","35081.0","18954.27169473885"
"Portugal","1389646.0","18955.0","13628.380221183172"
"Spain","1167381.0","16373.0","19085.58557172442"
